RV32PRIVM,"Privileged, Machine-Level ISA",1.11
xlen,32
""
Extension,Subset,Instruction,Description,Covergroup,Coverpoint,Coverpoint Description,Coverage Level,Pass/Fail Criteria,Test Type,Coverage Method
,,,,,cp_pmpcfg1_pmp5cfg_l,pmpcfg1 (CSR) field pmp5cfg_l,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg1_pmp5cfg_xwr,pmpcfg1 (CSR) field pmp5cfg_xwr,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg1_pmp6cfg_a,pmpcfg1 (CSR) field pmp6cfg_a,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg1_pmp6cfg_l,pmpcfg1 (CSR) field pmp6cfg_l,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg1_pmp6cfg_xwr,pmpcfg1 (CSR) field pmp6cfg_xwr,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg1_pmp7cfg_a,pmpcfg1 (CSR) field pmp7cfg_a,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg1_pmp7cfg_l,pmpcfg1 (CSR) field pmp7cfg_l,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg1_pmp7cfg_xwr,pmpcfg1 (CSR) field pmp7cfg_xwr,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_wr_count,Number of times csr is written,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
RV32PRIVM,,pmpcfg2,"Privileged, Machine-Level ISA",pmpcfg2_cg,,,,,,
,,,,,cp_pmpcfg2_pmp10cfg_a,pmpcfg2 (CSR) field pmp10cfg_a,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg2_pmp10cfg_l,pmpcfg2 (CSR) field pmp10cfg_l,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg2_pmp10cfg_xwr,pmpcfg2 (CSR) field pmp10cfg_xwr,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg2_pmp11cfg_a,pmpcfg2 (CSR) field pmp11cfg_a,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg2_pmp11cfg_l,pmpcfg2 (CSR) field pmp11cfg_l,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg2_pmp11cfg_xwr,pmpcfg2 (CSR) field pmp11cfg_xwr,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg2_pmp8cfg_a,pmpcfg2 (CSR) field pmp8cfg_a,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg2_pmp8cfg_l,pmpcfg2 (CSR) field pmp8cfg_l,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg2_pmp8cfg_xwr,pmpcfg2 (CSR) field pmp8cfg_xwr,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg2_pmp9cfg_a,pmpcfg2 (CSR) field pmp9cfg_a,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg2_pmp9cfg_l,pmpcfg2 (CSR) field pmp9cfg_l,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg2_pmp9cfg_xwr,pmpcfg2 (CSR) field pmp9cfg_xwr,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_wr_count,Number of times csr is written,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
RV32PRIVM,,pmpcfg3,"Privileged, Machine-Level ISA",pmpcfg3_cg,,,,,,
,,,,,cp_pmpcfg3_pmp12cfg_a,pmpcfg3 (CSR) field pmp12cfg_a,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg3_pmp12cfg_l,pmpcfg3 (CSR) field pmp12cfg_l,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg3_pmp12cfg_xwr,pmpcfg3 (CSR) field pmp12cfg_xwr,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg3_pmp13cfg_a,pmpcfg3 (CSR) field pmp13cfg_a,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg3_pmp13cfg_l,pmpcfg3 (CSR) field pmp13cfg_l,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg3_pmp13cfg_xwr,pmpcfg3 (CSR) field pmp13cfg_xwr,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg3_pmp14cfg_a,pmpcfg3 (CSR) field pmp14cfg_a,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg3_pmp14cfg_l,pmpcfg3 (CSR) field pmp14cfg_l,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg3_pmp14cfg_xwr,pmpcfg3 (CSR) field pmp14cfg_xwr,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg3_pmp15cfg_a,pmpcfg3 (CSR) field pmp15cfg_a,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg3_pmp15cfg_l,pmpcfg3 (CSR) field pmp15cfg_l,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg3_pmp15cfg_xwr,pmpcfg3 (CSR) field pmp15cfg_xwr,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_wr_count,Number of times csr is written,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
